"Date","Price","Open","High","Low","Vol.","Change %"
"08/31/2014","4,549.51","4,549.51","4,549.51","4,549.51","","-0.62%"
"08/28/2014","4,577.99","4,577.99","4,577.99","4,577.99","","-0.47%"
"08/27/2014","4,599.46","4,599.46","4,599.46","4,599.46","","0.19%"
"08/26/2014","4,590.65","4,590.65","4,590.65","4,590.65","","0.58%"
"08/25/2014","4,564.34","4,564.34","4,564.34","4,564.34","","0.52%"
"08/24/2014","4,540.60","4,540.60","4,540.60","4,540.60","","-0.14%"
"08/21/2014","4,547.05","4,547.05","4,547.05","4,547.05","","-0.15%"
"08/20/2014","4,553.86","4,553.86","4,553.86","4,553.86","","-0.49%"
"08/19/2014","4,576.36","4,576.36","4,576.36","4,576.36","","0.49%"
"08/18/2014","4,554.14","4,554.14","4,554.14","4,554.14","","-0.01%"
"08/14/2014","4,554.51","4,554.51","4,554.51","4,554.51","","0.60%"
"08/13/2014","4,527.21","4,527.21","4,527.21","4,527.21","","0.02%"
"08/12/2014","4,526.49","4,526.49","4,526.49","4,526.49","","-0.85%"
"08/11/2014","4,565.13","4,565.13","4,565.13","4,565.13","","0.76%"
"08/10/2014","4,530.83","4,530.83","4,530.83","4,530.83","","1.00%"
"08/07/2014","4,486.19","4,486.19","4,486.19","4,486.19","","0.03%"
"08/06/2014","4,484.90","4,484.90","4,484.90","4,484.90","","0.28%"
"08/05/2014","4,472.17","4,472.17","4,472.17","4,472.17","","0.12%"
"08/04/2014","4,467.00","4,467.00","4,467.00","4,467.00","","1.05%"
"08/03/2014","4,420.61","4,420.61","4,420.61","4,420.61","","-0.15%"
"07/24/2014","4,427.15","4,427.15","4,427.15","4,427.15","","0.88%"
"07/23/2014","4,388.68","4,388.68","4,388.68","4,388.68","","-0.81%"
"07/22/2014","4,424.60","4,424.60","4,424.60","4,424.60","","0.67%"
"07/21/2014","4,394.94","4,394.94","4,394.94","4,394.94","","0.47%"
"07/20/2014","4,374.19","4,374.19","4,374.19","4,374.19","","-0.41%"
